,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords,ML_ET_Related,ET_Prediction,Measurement Methods,Features Used,"('Methods', 'eddy covariance')","('Methods', 'weather station')","('Methods', 'remote sensing')","('Methods', 'load cells')","('Methods', 'sap flow')","('Methods', 'field measurement')","('Methods', 'phenotyping')","('Methods', 'soil water balance')","('Methods', 'empirical models')","('Methods', 'stomatal conductance')","('Methods', 'psychrometry')","('Features', 'climate & meteorology')","('Features', 'vegetation indices')","('Features', 'soil')","('Features', 'plant physiology')"
1371,Pauli E.; Andersen H.; Bendix J.; Cermak J.; Egli S.,Determinants of fog and low stratus occurrence in continental central Europe – a quantitative satellite-based evaluation,2020,10.1016/j.jhydrol.2020.125451,"The formation and development of fog and low stratus clouds (FLS) depend on meteorological and land surface conditions and their interactions with each other. While analyses of temporal and spatial patterns of FLS in Europe exist, the interactions between FLS determinants underlying them have not been studied explicitly and quantitatively at a continental scale yet. In this study, a state-of-the-art machine learning technique is applied to model FLS occurrence over continental Europe, using meteorological and land surface parameters from geostationary satellite and reanalysis data. Spatially explicit model units are created to test for spatial and seasonal differences in model performance and FLS sensitivities to changes in predictors, and effects of different data preprocessing procedures are evaluated. The statistical models show good performance in predicting FLS occurrence during validation, with R2>0.9 especially in winter high pressure situations.The predictive skill of the models seems to be dependent on data availability, data preprocessing, time period, and geographic characteristics. It is shown that atmospheric proxies are more important determinants of FLS presence than surface characteristics, in particular mean sea level pressure, near-surface wind speed and evapotranspiration are crucial, together with FLS occurrence on the previous day. Higher wind speeds, higher land surface temperatures and higher evapotranspiration tend to be negatively related to FLS. Spatial patterns of feature importance show the dominant influence of mean sea level pressure on FLS occurrence throughout the central European domain. When only high pressure situations are considered, wind speed (in the western study region) and evapotranspiration (in the eastern study region) gain importance, highlighting the influence of moisture advection on FLS occurrence in the western parts of the central European domain. This study shows that FLS occurrence can be accurately modeled using machine learning techniques in large spatial domains based on meteorological and land surface predictors. The statistical models used in this study provide a novel analysis tool for investigating empirical relationships in the FLS – land surface system and possibly infer processes. © 2020 Elsevier B.V.",Atmosphere-land surface interactions; Europe; Fog; Land surface; Low stratus; Machine learning,Europe; Clouds; Evapotranspiration; Geostationary satellites; High pressure effects; Machine learning; Sea level; Surface measurement; Wind; Empirical relationships; Geographic characteristics; Land surface conditions; Land surface parameters; Machine learning techniques; Mean sea level pressures; Spatially explicit modeling; Temporal and spatial pattern; advection; data assimilation; evapotranspiration; fog; geostationary satellite; high pressure; land surface; machine learning; qualitative analysis; sea level pressure; wind velocity; Land surface temperature,Yes,Yes,"weather station, remote sensing","climate & meteorology, vegetation indices",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1372,Liu X.; Dai Z.; Wu L.; Zhang F.; Dong J.; Chen Z.,"Comparing the Performance of GPR, XGBoost and CatBoost Models for Calculating Reference Crop Evapotranspiration in Jiangxi Province; [GPR, XGBoost和CatBoost模拟江西地区参考作物蒸散量的适应性研究]",2021,10.13522/j.cnki.ggps.2020056,"Background: Alternate drought and waterlogging increasingly occurring in Jiangxi province means that rational irrigation strategies are required to safeguard its agricultural production.Objective: The objective of this paper is to select a suitable machine learning model to calculate reference crop evapotranspiration across the province.Method:Meteorological data - including daily maximum (Tmax) and minimum (Tmin) ambient temperature, global solar radiation, extra-terrestrial solar radiation(Rs), relative humidity (RH) and 2m-height wind speed (U2) - were measured from 2001 to 2015 at 15 stations across the province; they were then used to train and test three models: The gaussian process regression (GPR), the extreme gradient boosting (XGBoost), and the gradient boosting with categorical features support (CatBoost). We compared accuracy with empirical model for estimating the reference evapotranspiration.Result:The meteorological factors that impacted the accuracy of the machine learning model for estimating ET0 was ranked in the descending order as follows based on their significance: Rs>Tmax>Tmin>RH>U2. Models using Tmax, Tmin, Rs and U2 gave the most accurate ET0 estimate with RMSE<0.2 mm/d. All three models have a good applicability by using limited meteorological data, and are superior to the traditional empirical model. In particular, GPR and CatBoost were more accurate, and GPR was most stable.Conclusion: In terms of complexity, accuracy and stability, GPR was the most suitable model for estimating reference crop evapotranspiration in Jiangxi province. © 2021, Editorial Office of Journal of Irrigation and Drainage. All right reserved.",Empirical model; Extreme gradient boosting; Gaussian process regression; Gradient boosting with categorical features support; Reference crop evapotranspiration,,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1380,Aghelpour P.; Guan Y.; Bahrami‐pichaghchi H.; Mohammadi B.; Kisi O.; Zhang D.,Using the modis sensor for snow cover modeling and the assessment of drought effects on snow cover in a mountainous area,2020,10.3390/rs12203437,"Snow is one of the essential factors in hydrology, freshwater resources, irrigation, travel, pastimes, floods, avalanches, and vegetation. In this study, the snow cover of the northern and southern slopes of Alborz Mountains in Iran was investigated by considering two issues: (1) Estimating the snow cover area and the (2) effects of droughts on snow cover. The snow cover data were monitored by images obtained from the Moderate Resolution Imaging Spectroradiometer (MODIS) sensor. The meteorological data (including the precipitation, minimum and maximum temperature, global solar radiation, relative humidity, and wind velocity) were prepared by a combination of National Centers for Environmental Prediction‐Climate Forecast System Reanalysis (NCEP‐CFSR) points and meteorological stations. The data scale was monthly and belonged to the 2000–2014 period. In the first part of the study, snow cover estimation was conducted by Multiple Linear Regression (MLR), Least Square Support Vector Machine (LSSVM), Group Method of Data Handling (GMDH), Multilayer Perceptron (MLP), and MLP with Grey Wolf Optimization (MLP‐ GWO) models. The most accurate estimations were produced by the MLP‐GWO and GMDH models. The models produced better snow cover estimations for the northern slope compared to the southern slope. The GWO improved the MLP’s accuracy by 10.7%. In the second part, seven drought indices, including the Palmer Drought Severity Index (PDSI), Bahlme–Mooley Drought Index (BMDI), Standardized Precipitation Index (SPI), Multivariate Standardized Precipitation Index (MSPI), Modified Standardized Precipitation Index (SPImod), Joint Deficit Index (JDI), and Standardized Precipitation‐Evapotranspiration Index (SPEI) were calculated for both slopes. The results showed that the effects of a drought event on the snow cover area would remain up to 5 (or 6) months in the region. The highest impact of drought appears after two months in the snow cover area, and the drought index most related to snow cover variations is the 2–month time window of SPI (SPI2). The results of both subjects were promising and the methods can be examined in other snowy areas of the world. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Bio‐inspired optimization algorithm; Machine learning; MODIS data; Snow cover area; Snow modeling,Data handling; Drought; Least squares approximations; Linear regression; Multilayer neural networks; Radiometers; Stream flow; Support vector machines; Support vector regression; Global solar radiation; Group method of data handling; Least square support vector machines; Moderate resolution imaging spectroradiometer sensors; Multiple linear regressions; National centers for environmental predictions; Palmer drought severity indices; Standardized precipitation index; Avalanches (snowslides),Yes,Yes,"weather station, remote sensing",climate & meteorology,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1384,Dong L.; Zeng W.; Wu L.; Lei G.; Chen H.; Kumar Srivastava A.; Gaiser T.,Estimating the pan evaporation in northwest china by coupling catboost with bat algorithm,2021,10.3390/w13030256,"Accurate estimation of pan evaporation (Ep ) is vital for the development of water resources and agricultural water management, especially in arid and semi-arid regions where it is restricted to set up the facilities and measure pan evaporation accurately and consistently. Besides, using pan evaporation estimating models and pan coefficient (kp) models is a classic method to assess the reference evapotranspiration (ET0 ) which is indispensable to crop growth, irrigation scheduling, and economic assessment. This study estimated the potential of a novel hybrid machine learning model Coupling Bat algorithm (Bat) and Gradient boosting with categorical features support (CatBoost) for estimating daily pan evaporation in arid and semi-arid regions of northwest China. Two other commonly used algorithms including random forest (RF) and original CatBoost (CB) were also applied for comparison. The daily meteorological data for 12 years (2006–2017) from 45 weather stations in arid and semi-arid areas of China, including minimum and maximum air temperature (Tmin, Tmax ), relative humidity (RH), wind speed (U), and global solar radiation (Rs ), were utilized to feed the three models for exploring the ability in predicting pan evaporation. The results revealed that the new developed Bat-CB model (RMSE = 0.859–2.227 mm·d−1; MAE = 0.540–1.328 mm·d−1; NSE = 0.625–0.894; MAPE = 0.162–0.328) was superior to RF and CB. In addition, CB (RMSE = 0.897–2.754 mm·d−1; MAE = 0.531–1.77 mm·d−1; NSE = 0.147–0.869; MAPE = 0.161–0.421) slightly outperformed RF (RMSE = 1.005–3.604 mm·d−1; MAE = 0.644–2.479 mm·d−1; NSE = −1.242–0.894; MAPE = 0.176–0.686) which had poor ability to operate the erratic changes of pan evaporation. Furthermore, the improvement of Bat-CB was presented more comprehensively and obviously in the seasonal and spatial performance compared to CB and RF. Overall, Bat-CB has high accuracy, robust stability, and huge potential for Ep estimation in arid and semi-arid regions of northwest China and the applications of findings in this study have equal significance for adjacent countries. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Bat algorithm; CatBoost; Machine learning; Pan evaporation; Random forest,China; Adaptive boosting; Agricultural robots; Arid regions; Atmospheric temperature; Decision trees; Evaporation; Machine learning; Meteorology; Water management; Wind; Agricultural water management; Arid and semi-arid areas; Arid and semi-arid regions; Daily pan evaporation; Global solar radiation; Hybrid machine learning; Irrigation scheduling; Reference evapotranspiration; air temperature; algorithm; evapotranspiration; irrigation system; machine learning; relative humidity; semiarid region; solar radiation; wind velocity; Evapotranspiration,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1385,Babakos K.; Papamichail D.; Tziachris P.; Pisinaras V.; Demertzi K.; Aschonitis V.,Assessing the robustness of pan evaporation models for estimating reference crop evapotranspiration during recalibration at local conditions,2020,10.3390/hydrology7030062,"A classic method for assessing the reference crop evapotranspiration (ETo) is the pan evaporation (Epan) method that uses Epan measurements and pan coefficient (kp) models, which can be functions of relative humidity (RH), wind speed (u2), and temperature (T). The aim of this study is to present a methodology for evaluating the robustness of regression coefficients associated to climate parameters (RH, u2, and T) in pan method models during recalibration at local conditions. Two years of daily data from April to October (warm season) of meteorological parameters, Epan measurements from class A pan evaporimeter and ETo estimated by ASCE-standardized method for the climatic conditions of Thessaloniki (Greece, semi-arid environment), were used. The regression coefficients of six general nonlinear (NLR) regression Epan models were analyzed through recalibration using a technique called “random cross-validation nonlinear regression RCV-NLR” that produced 1000 random splits of the initial dataset into calibration and validation sets using a constant proportion (70% and 30%, respectively). The variance of the regression coefficients was analyzed based on the 95% interval of the highest posterior density distribution. NLR models that included coefficients with a 95% HPD interval that fluctuates in both positive and negative values were considered nonrobust. The machine-learning technique of random forests (RF) was also used to build a RF model that includes Epan, u2, RH, and T parameters. This model was used as a benchmark for evaluating the predictive accuracy of NLR models but, also, for assessing the relative importance of the predictor climate variables if they were all included in one NLR model. The findings of this study indicated that locally calibrated NLR functions that use only the Epan parameter presented better results, while the inclusion of additional climate parameters was redundant and led to underfitting. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Class A pan evaporation; Effects of climate parameters in pan evaporation models; Pan models’ recalibration at local conditions; Reference evapotranspiration,,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1386,Mao Y.; Fang S.,Research of Reference Evapotranspiration's Simulation based on Machine Learning; [基于机器学习的参考作物蒸散量估算研究],2020,10.12082/dqxxkx.2020.200085,"Accurate estimation of Reference Evapotranspiration (ET0) is essential to agricultural water management and allocation and hydrological cycle research. FAO-56 Penman-Monteith (FAO-56 PM) is the standard method to calculate ET0 recommended by Food and Agriculture Organization of the United Nations (FAO). But this method demands too many parameters and these meteorological inputs are not commonly available or unreliable, especially in Xinjiang province. Under this situation, machine learning algorithms have been introduced to estimate ET0 using fewer meteorological parameters and many comparisons of their prediction accuracy have been conducted. But the input combinations of meteorological factors are various and lack theoretical support. Meanwhile, the comparison of their performance at different time-scales has not been comprehensively conducted yet, and the good stability and less computational effort of models are also less to consider. The objective of this research was to evaluate machine learning algorithms' performance in modeling daily ET0 and monthly ET0 using fewer meteorological factors in Xinjiang. At this point, by using data collected from 41 weather stations in Xinjiang, this paper used Sensitivity Coefficient (SV) to evaluate the meteorological factors' influence degree to ET0 and then combined factors with high influence as input to Support Vector Machine (SVM), Gradient Boosted Decision Tree (GBDT), Random Forest (RF), and Extreme Learning Machine (ELM) in modeling daily and monthly ET0, and finally investigated and compared the performance of these algorithms from accuracy, stability and computational cost. The results showed RH (SV=-0.516), Tmax (SV=0.283)and U2 (SV=0.266) had high influence to ET0 followed by n (SV=0.124), while Tmin (SV= -0.016) and Tavg (SV= -0.003) exhibited low influence. In modeling daily ET0, models obtained satisfactory accuracy (RMSE<0.5 mm/day, R2>0.95) with input combination of RH, Tmax, U2 and n, while combination of RH、Tmax and U2 showed comparable accuracy for monthly ET0 prediction. The SVM and GBDT models showed the best performance and have been recommended for daily and monthly ET0 estimation in Xinjiang and maybe elsewhere with similar climates around the world. © 2020, Science Press. All right reserved.",Extreme Learning Machine; Gradient Boosted Decision Tree; Machine learning; Penman-Monteith; Random Forest; Reference Evapotranspiration; Support Vector Machine; Xinjiang,,Yes,Yes,"weather station, empirical models",climate & meteorology,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1398,Elbeltagi A.; Deng J.; Wang K.; Malik A.; Maroufpoor S.,Modeling long-term dynamics of crop evapotranspiration using deep learning in a semi-arid environment,2020,10.1016/j.agwat.2020.106334,"Crop evapotranspiration (ETc) is one of the most basic components of the hydrologic cycle that is effective in irrigation system design and management, water resources planning and scheduling, and hydrologic water balance. Thus, precise estimation of ETc is valuable for various applications of agricultural water engineering, especially in developing countries such as Egypt, which has lack of meteorological data, high cost and time to calculate ETc, and lack of information on future ETc values to consider management scenarios and increase production potential. Also, due to the existence of different climates in Egypt, the estimate of ETc has become a challenge. To this end, the aim of this study was to estimate the ETc to eliminate the limitations mentioned, and analyze the long-term dynamics of ETc based on limited climate data and simple method. Three Egyptian governorates namely Ad Daqahliyah, Ash Sharqiyah, and Kafr ash Shaykh of Nile Delta, were selected as major wheat-producing sites. The required historical required climatic data were collected from open access data library while future data were from two extreme scenarios of the Representative Concentration Pathways (RCP) i.e., RCP 4.5, and RCP 8.5. The available dataset was divided into three parts: (i) calibration from 1970−2000, (ii) validation from 2000−2017, and (iii) prediction from 2022−2035. The deep neural network (DNN) was employed for incorporating historical data and predicting future ETc. For the evaluation of generated DNN models, the research finding indicates that the correlation coefficients between actual versus predicted monthly ETc were found to be 0.95, 0.96, and 0.97 for calibration period, and 0.94, 0.95 and 0.95 for validation at Ad Daqahliyah, Kafr ash Shaykh, and Ash Sharqiyah regions, respectively. For the simulation of future climatic data, maximum temperature (Tmax) will increased by 5.19 %, 4.22 %, and 20.82 %, minimum temperature (Tmin) will increased by 1.62 %, 36.44 %, and 27.80 %, and solar radiation (SR) will increased by 6.53 %, 18.74 %, and 28.83 % for the study locations, respectively. Moreover, the DNN model exposed that the Kafr ash Shaykh attain the highest values of ETc with an increase of 11.31 %, slightly increased of 1.38 % for Ad Daqahliyah, and decreased by 15.09 % for Ash Sharqiyah in comparison to the historical data. Thus, the proposed model of crop water-use prediction effectively estimated ETc of wheat and make an efficient decision. The developed models produced satisfactory results for water managers to save water and achieve the sustainability of agricultural water. © 2020 Elsevier B.V.",Climate change; Crop evapotranspiration; DNN model; Future projection,Daqahliya; Egypt; Kafr ash Shaykh; Nile Delta; Sharqiya; Triticum aestivum; Agricultural robots; Calibration; Cost engineering; Crops; Deep neural networks; Developing countries; Evapotranspiration; Forecasting; Meteorology; Scheduling; Sustainable development; Water supply; Correlation coefficient; Crop evapotranspiration; Increase productions; Irrigation system design; Management scenarios; Minimum temperatures; Semi-arid environments; Water resources planning; agricultural management; calibration; evapotranspiration; irrigation system; machine learning; semiarid region; solar radiation; sustainability; water management; wheat; Deep learning,Yes,Yes,weather station,"climate & meteorology, vegetation indices",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1399,Mokhtari R.; Akhoondzadeh M.,Data fusion and machine learning algorithms for drought forecasting using satellite data,2020,10.22059/JESPHYS.2020.299445.1007199,"Drought is one of the natural disasters in the world, which is associated with various global factors, most of which can be observed using remote sensing techniques. One of the factors affecting agricultural drought is the vegetation associated with other drought-related factors. These parameters have a complicated relationship with each other, so machine learning algorithms can be used to predict better and model this phenomenon. Factors considered in this study include vegetation as the most critical factor, Land Surface Temperature (LST), Evapo Transpiration (ET), snow cover, rainfall, soil moisture these are derived from the active and passive sensors of satellite sensors as the products of LST, snow cover and vegetation using images of products of the MODIS sensor, rainfall using the images of the TRMM satellite, and soil moisture using the images of the SMOS satellite during a period from June 2010 to the end of 2018 for the central region of Iran. After that, primary processing was performed on these images. The vegetation index (NDVI) is modelled and predicted using an Artificial Neural Network algorithm (ANN), Support Vector Regression (SVR), Decision Tree (DT), Random Forest (RF) for monthly periods. By using these methods we have been able to present a model with desirable accuracy. The ANN approach has provided higher accuracy than the other three algorithms. Also, an average accuracy with RMSE=0.0385 and R2=0.8740 was achieved. © 2020 Institute of Geophysics. All rights reserved.",Drought; Machine learning; MODIS; SMOS; TRMM,Iran; algorithm; data processing; drought; machine learning; MODIS; NDVI; satellite data; SMOS; TRMM; vegetation; weather forecasting,Yes,Yes,remote sensing,"climate & meteorology, vegetation indices, soil",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
1401,Laqui W.; Zubieta R.; Rau P.; Mejía A.; Lavado W.; Ingol E.,Can artificial neural networks estimate potential evapotranspiration in Peruvian highlands?,2019,10.1007/s40808-019-00647-2,"Evapotranspiration (ETo) is one of the most important variables of the water cycle when water requirements for irrigation, water resource planning or hydrological applications are analyzed. In this context, models based on artificial neural networks (ANN) of the retro-propagation type can be an alternative method to estimate ETo in highland regions using a number of input variables limited. The objective of this study is to develop ANN models to estimate ETo for the Peruvian highlands using input variables such as maximum air temperature (Tmax), minimum air temperature (Tmin), hours of sunshine (Sh), relative humidity (Rh) and wind speed (Wv), as an alternative method to FAO Penman–Monteith method (FAO-PM56) and Hargreaves–Samani (HS). Daily climatic datasets recorded at 12 meteorological stations between 1963 and 2015 were selected in this study. For evaluation reason, the ETo calculated using the FAO-PM56 was also considered. The main input variable to ANN modeling is Tmax, followed by Sh and Wv or combinations between them. Hargreaves–Samani (HS) showed a poor performance in the estimation of the ETo in the Peruvian highlands compared to the 13 ANN models. Additionally, it was determined that in stations with lower thermal amplitude (< 14.2 °C) the lowest performance levels are presented in the estimation of the ETo with HS equation, which does not occur markedly with the ANN models that they estimate adequately ETo. Therefore, ANN models represent a great option to replace the FAO-PM56 and HS method, when ETo data series are scarce. © 2019, Springer Nature Switzerland AG.",Artificial intelligence; ETo; Highlands; Water requirement,Peru; air temperature; artificial intelligence; artificial neural network; data set; numerical model; Penman-Monteith equation; potential evapotranspiration; relative humidity; wind velocity,Yes,Yes,"weather station, remote sensing, empirical models",climate & meteorology,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1404,Xiang Z.; Yan J.; Demir I.,A Rainfall-Runoff Model With LSTM-Based Sequence-to-Sequence Learning,2020,10.1029/2019WR025326,"Rainfall-runoff modeling is a complex nonlinear time series problem. While there is still room for improvement, researchers have been developing physical and machine learning models for decades to predict runoff using rainfall data sets. With the advancement of computational hardware resources and algorithms, deep learning methods such as the long short-term memory (LSTM) model and sequence-to-sequence (seq2seq) modeling have shown a good deal of promise in dealing with time series problems by considering long-term dependencies and multiple outputs. This study presents an application of a prediction model based on LSTM and the seq2seq structure to estimate hourly rainfall-runoff. Focusing on two Midwestern watersheds, namely, Clear Creek and Upper Wapsipinicon River in Iowa, these models were used to predict hourly runoff for a 24-hr period using rainfall observation, rainfall forecast, runoff observation, and empirical monthly evapotranspiration data from all stations in these two watersheds. The models were evaluated using the Nash-Sutcliffe efficiency coefficient, the correlation coefficient, statistical bias, and the normalized root-mean-square error. The results show that the LSTM-seq2seq model outperforms linear regression, Lasso regression, Ridge regression, support vector regression, Gaussian processes regression, and LSTM in all stations from these two watersheds. The LSTM-seq2seq model shows sufficient predictive power and could be used to improve forecast accuracy in short-term flood forecast applications. In addition, the seq2seq method was demonstrated to be an effective method for time series predictions in hydrology. ©2020. American Geophysical Union. All Rights Reserved.",flood forecast; hydrology modeling; LSTM; machine learning; rainfall-runoff model; sequence learning,Clear Creek [Iowa]; Iowa; Midwest; United States; Computational complexity; Deep learning; Flood control; Floods; Learning systems; Machine learning; Mean square error; Rain; Regression analysis; Runoff; Time series; Watersheds; Weather forecasting; Flood forecast; Hydrology modeling; LSTM; Rainfall-runoff modeling; Sequence learning; algorithm; evapotranspiration; flood forecasting; hardware; hydrological modeling; machine learning; time series; Long short-term memory,Yes,Yes,Not Specified,climate & meteorology,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1407,Yin J.; Wang W.; Yu H.; Liu B.; Feng Q.; Liang T.; Meng B.; Yang S.; Gao J.; Ge J.; Hou M.; Liu J.,Estimation of Grassland Height Based on the Random Forest Algorithm and Remote Sensing in the Tibetan Plateau,2020,10.1109/JSTARS.2019.2954696,"Grassland height is one of the main factors used to evaluate grassland conditions. However, the retrieval of natural grassland height at the regional scale by remote sensing data and conventional statistical models will result in large errors, especially in the heterogeneous alpine grassland of the Tibetan Plateau (TP). In this article, we aimed to construct a model based on multiple variables (biogeographical, meteorological, and Moderate Resolution Imaging Spectroradiometer (MODIS) product) using a random forest (RF) algorithm to predict the spatial distribution of grassland height in the TP from 2003 to 2017. The results show the following conditions. 1) Seven variables (elevation, slope, aspect, enhanced vegetation index, reflectance in band seven of MODIS (B7), annual accumulated temperature (≥0 °C), and annual precipitation) that were selected by recursive feature elimination from 11 variables have high importance in the RF model. The final model exhibits good performance, with mean R2 and root mean squared error values of 0.51 and 6.15 cm, respectively, which were determined via 10-fold crossvalidation. 2) The mean grassland height (2003-2017) predicted by the RF model ranges from 5 to 10 cm in most areas of the TP, and the mean height is 10 cm. The grassland height in the east and southeast of the TP is significantly higher than that in other areas. 3) This article achieves a relatively accurate estimation of grassland height over a large spatial scale at 500-m spatial resolution, which plays an important role in accurately estimating aboveground biomass and evapotranspiration over grassland. © 2008-2012 IEEE.",Grassland height; random forest (RF); Tibetan Plateau (TP),China; Qinghai-Xizang Plateau; Decision trees; Mean square error; Radiometers; Remote sensing; Accumulated temperatures; Enhanced vegetation index; Grassland height; Moderate resolution imaging spectroradiometer; Random forest algorithm; Recursive feature elimination; Root mean squared errors; Tibetan Plateau; algorithm; ecological modeling; estimation method; grassland; height determination; machine learning; MODIS; remote sensing; spatial distribution; Random forests,Yes,Yes,"weather station, remote sensing","climate & meteorology, vegetation indices",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1408,Jing W.; Zhao X.; Yao L.; Di L.; Yang J.; Li Y.; Guo L.; Zhou C.,Can Terrestrial Water Storage Dynamics be Estimated From Climate Anomalies?,2020,10.1029/2019EA000959,"Freshwater stored on land is an extremely vital resource for all the terrestrial life on Earth. But our ability to record the change of land water storage is weak despite its importance. In this study, we attempt to establish a data-driven model for simulating terrestrial water storage dynamics by relating climate forcings with terrestrial water storage anomalies (TWSAs) from the Gravity Recovery and Climate Experiment (GRACE) satellites. In the case study in Pearl River basin, China, the relationships were learned by using two ensemble learning algorithms, the Random Forest (RF) and eXtreme Gradient Boost (XGB), respectively. The TWSA in the basin was reconstructed back to past decades and compared with the TWSA derived from global land surface models. As a result, the RF and XGB algorithms both perform well and could nicely reproduce the spatial pattern and value range of GRACE observations, outperforming the land surface models. Temporal behaviors of the reconstructed TWSA time series well capture those of both GRACE and land surface models time series. A multiscale GRACE-based drought index was proposed, and the index matches the Standardized Precipitation-Evapotranspiration Index time series at different time scales. The case analysis for years of 1963 and 1998 indicates the ability of the reconstructed TWSA for identifying past drought and flood extremes. The importance of different input variables to the TWSA estimation model was quantified, and the precipitation of the prior 2 months is the most important variable for simulating the TWSA of the current month in the model. Results of this study highlight the great potentials for estimating terrestrial water storage dynamics from climate forcing data by using machine learning to achieve comparable results than complex physical models. ©2020. The Authors.",climate forcing; ensemble learning; terrestrial water storage,China; Guangdong; Zhujiang Basin; algorithm; climate change; climate forcing; ensemble forecasting; estimation method; GRACE; machine learning; numerical model; satellite altimetry; simulation; time series analysis; water storage,Yes,Yes,remote sensing,climate & meteorology,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1410,Nourani V.; Elkiran G.; Abdullahi J.,Multi-step ahead modeling of reference evapotranspiration using a multi-model approach,2020,10.1016/j.jhydrol.2019.124434,"Efficient estimation of Reference Evapotranspiration (ET0) becomes necessary for water resources management and irrigation practices. Despite research advancement in the recent decades, results inconsistencies have been reported related to chaotic, stochastic and black box approaches for multi-step ahead prediction of ET0. This study aimed at applying ensemble approaches to improve single and multi-step ahead predictions of ET0. To do so, several Artificial Intelligence (AI) based techniques including Support Vector Regression (SVR), Adaptive Neuro Fuzzy Inference System (ANFIS), Artificial Neural Network (ANN) and Multiple Linear Regression (MLR) models, were employed for one, two and three-steps ahead predictions of ET0 for numerous climatic stations in Iraq, North Cyprus and Turkey. Monthly meteorological parameters were used as inputs for the models development. Finally, two linear ensemble methods (simple averaging and weighted averaging) and a nonlinear ensemble method (neural ensemble) were applied for the single models performance and reliability improvements. The results showed superior performance of AI based models with regard to the MLR model. In addition, promising improvements were achieved in single and multi-step ahead ET0 modeling by the application of the ensemble models. The overall results revealed that the ensemble models proposed in this study could lead to increase in single models performance in the validation phase up to 60%, 33% and 24% for Turkey, North Cyprus and Iraq stations, respectively. © 2019 Elsevier B.V.",Artificial intelligence; Artificial neural network; Ensemble models; Pan evaporation; Reference evapotranspiration,Cyprus; Iraq; Turkey; Artificial intelligence; Forecasting; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Linear regression; Neural networks; Stochastic systems; Adaptive neuro-fuzzy inference system; Ensemble models; Multi-step-ahead predictions; Multiple linear regression models; Pan evaporation; Performance and reliabilities; Reference evapotranspiration; Support vector regression (SVR); artificial intelligence; artificial neural network; ensemble forecasting; evapotranspiration; prediction; research work; support vector machine; Evapotranspiration,Yes,Yes,weather station,"climate & meteorology, vegetation indices",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1411,Araghi A.; Adamowski J.; Martinez C.J.,Comparison of wavelet-based hybrid models for the estimation of daily reference evapotranspiration in different climates,2020,10.2166/wcc.2018.113,"Reference evapotranspiration (ETo ) is one of the most important factors in the hydrologic cycle and water balance studies. In this study, the performance of three simple and three wavelet hybrid models were compared to estimate ETo in three different climates in Iran, based on different combinations of input variables. It was found that the wavelet-artificial neural network was the best model, and multiple linear regression (MLR) was the worst model in most cases, although the performance of the models was related to the climate and the input variables used for modeling. Overall, it was found that all models had good accuracy in terms of estimating daily ETo. Also, it was found in this study that large numbers of decomposition levels via the wavelet transform had noticeable negative effects on the performance of the wavelet-based models, especially for the wavelet-adaptive network-based fuzzy inference system and wavelet-MLR, but in contrast, the type of db wavelet function did not have a detectable effect on the performance of the wavelet-based models. © IWA Publishing 2020.",Artificial intelligence; Discrete wavelet transform; Multiple linear regression; Reference evapotranspiration,Evapotranspiration; Fuzzy inference; Fuzzy neural networks; Linear regression; Wavelet decomposition; Adaptive network based fuzzy inference system; Decomposition level; Hydrologic cycles; Input variables; Multiple linear regressions; Reference evapotranspiration; Water balance; Wavelet based models; climate conditions; comparative study; estimation method; evapotranspiration; hydrological cycle; performance assessment; water budget; wavelet analysis; Climate models,Yes,Yes,Not Specified,climate & meteorology,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
